k141_416796	29281	species	uncultured crenarchaeote	3	3	2	0.670	unknown;Crenarchaeota;unknown	-_cellular organisms;d_Archaea;-_TACK group;p_Crenarchaeota;-_environmental samples;s_uncultured crenarchaeote
k141_814205	651137	phylum	Thaumarchaeota	4	4	3	0.750	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_814377	651137	phylum	Thaumarchaeota	7	7	6	0.810	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_814483	1033997	family	Nitrososphaeraceae	3	3	2	0.670	unknown;Thaumarchaeota;Nitrososphaeraceae	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota;c_Nitrososphaeria;o_Nitrososphaerales;f_Nitrososphaeraceae
k141_2211217	2169593	species	Nitrososphaeraceae archaeon	9	9	5	0.500	unknown;Thaumarchaeota;Nitrososphaeraceae	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota;c_Nitrososphaeria;o_Nitrososphaerales;f_Nitrososphaeraceae;-_unclassified Nitrososphaeraceae;s_Nitrososphaeraceae archaeon
k141_2211329	1	no rank	root	2	2	2	1.000	unknown;unknown;unknown	-_root
k141_218799	651137	phylum	Thaumarchaeota	11	9	5	0.500	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_2012139	1	no rank	root	3	3	3	1.000	unknown;unknown;unknown	-_root
k141_218823	651137	phylum	Thaumarchaeota	4	4	3	0.680	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_3003133	1783275	clade	TACK group	3	3	3	1.000	unknown;unknown;unknown	-_cellular organisms;d_Archaea;-_TACK group
k141_1828144	2026768	species	Nitrosopumilales archaeon	3	3	2	0.670	unknown;Thaumarchaeota;unknown	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota;o_Nitrosopumilales;-_unclassified Nitrosopumilales;s_Nitrosopumilales archaeon
k141_2227051	2026768	species	Nitrosopumilales archaeon	4	4	3	0.540	unknown;Thaumarchaeota;unknown	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota;o_Nitrosopumilales;-_unclassified Nitrosopumilales;s_Nitrosopumilales archaeon
k141_2427881	2169593	species	Nitrososphaeraceae archaeon	3	2	1	0.980	unknown;Thaumarchaeota;Nitrososphaeraceae	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota;c_Nitrososphaeria;o_Nitrososphaerales;f_Nitrososphaeraceae;-_unclassified Nitrososphaeraceae;s_Nitrososphaeraceae archaeon
k141_2028398	1	no rank	root	5	5	5	1.000	unknown;unknown;unknown	-_root
k141_2821819	1	no rank	root	3	3	3	1.000	unknown;unknown;unknown	-_root
k141_2624460	1	no rank	root	6	5	5	1.000	unknown;unknown;unknown	-_root
k141_832146	651137	phylum	Thaumarchaeota	3	2	1	0.500	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_1829190	2169593	species	Nitrososphaeraceae archaeon	13	13	8	0.620	unknown;Thaumarchaeota;Nitrososphaeraceae	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota;c_Nitrososphaeria;o_Nitrososphaerales;f_Nitrososphaeraceae;-_unclassified Nitrososphaeraceae;s_Nitrososphaeraceae archaeon
k141_35179	651137	phylum	Thaumarchaeota	5	5	3	0.600	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_2228461	1033997	family	Nitrososphaeraceae	4	4	2	0.650	unknown;Thaumarchaeota;Nitrososphaeraceae	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota;c_Nitrososphaeria;o_Nitrososphaerales;f_Nitrososphaeraceae
k141_2645926	2157	superkingdom	Archaea	8	8	4	0.500	uc_Archaea;uc_Archaea;uc_Archaea	-_cellular organisms;d_Archaea
k141_3030011	651137	phylum	Thaumarchaeota	6	6	5	0.800	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_1850738	2169593	species	Nitrososphaeraceae archaeon	8	7	4	0.570	unknown;Thaumarchaeota;Nitrososphaeraceae	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota;c_Nitrososphaeria;o_Nitrososphaerales;f_Nitrososphaeraceae;-_unclassified Nitrososphaeraceae;s_Nitrososphaeraceae archaeon
k141_2840747	651137	phylum	Thaumarchaeota	2	2	2	1.000	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_3030297	1783275	clade	TACK group	5	5	5	1.000	unknown;unknown;unknown	-_cellular organisms;d_Archaea;-_TACK group
k141_1651045	651137	phylum	Thaumarchaeota	4	3	2	0.670	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_2248861	1783275	clade	TACK group	11	11	9	0.730	unknown;unknown;unknown	-_cellular organisms;d_Archaea;-_TACK group
k141_854450	1	no rank	root	4	4	4	1.000	unknown;unknown;unknown	-_root
k141_1851583	1	no rank	root	5	5	5	1.000	unknown;unknown;unknown	-_root
k141_3030560	1033997	family	Nitrososphaeraceae	9	8	4	0.500	unknown;Thaumarchaeota;Nitrososphaeraceae	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota;c_Nitrososphaeria;o_Nitrososphaerales;f_Nitrososphaeraceae
k141_446558	651137	phylum	Thaumarchaeota	2	2	1	0.500	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_3022219	651137	phylum	Thaumarchaeota	4	4	4	1.000	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_2439722	651137	phylum	Thaumarchaeota	3	2	1	0.500	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_2636534	651137	phylum	Thaumarchaeota	5	5	3	0.750	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
k141_2040609	651137	phylum	Thaumarchaeota	2	2	2	1.000	unknown;Thaumarchaeota;uc_Thaumarchaeota	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota
