user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
LB081.bin.1.fa	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	66.98	11	0.8583985720220162	N/A
LB081.bin.10.fa	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__AR12;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__AR12;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	67.08	11	0.9270825985481613	N/A
LB081.bin.13.fa	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	10.21	11	0.538835639059877	Genome has more than 74.2% of markers with multiple hits
LB081.bin.14.fa	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968;g__DP-20;s__	N/A	N/A	N/A	N/A	N/A	GCA_005879435.1	95.0	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968;g__DP-20;s__DP-20 sp005879435	76.76	0.24	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968;g__DP-20;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_011329495.1, s__DP-20 sp011329495, 95.0, 77.04, 0.29; GCA_005879255.1, s__DP-20 sp005879255, 95.0, 76.97, 0.32; GCA_009692615.1, s__DP-20 sp009692615, 95.0, 76.94, 0.18; GCA_016844625.1, s__DP-20 sp016844625, 95.0, 76.31, 0.19; GCA_016874755.1, s__DP-20 sp016874755, 95.0, 75.67, 0.15	12.97	11	0.9152494972697747	Genome domain questionable ( 14.2% Bacterial, 5.7% Archaeal)
LB081.bin.15.fa	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__Udaeobacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__Udaeobacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_013372845.1, s__Udaeobacter sp013372845, 95.0, 79.47, 0.51; GCA_003218915.1, s__Udaeobacter sp003218915, 95.0, 79.31, 0.46; GCA_003221375.1, s__Udaeobacter sp003221375, 95.0, 78.27, 0.32; GCA_003219415.1, s__Udaeobacter sp003219415, 95.0, 78.13, 0.46; GCA_003221195.1, s__Udaeobacter sp003221195, 95.0, 77.94, 0.43; GCA_003219395.1, s__Udaeobacter sp003219395, 95.0, 77.57, 0.26; GCA_003217875.1, s__Udaeobacter sp003217875, 95.0, 77.08, 0.18; GCA_003218415.1, s__Udaeobacter sp003218415, 95.0, 76.98, 0.19; GCA_003219005.1, s__Udaeobacter sp003219005, 95.0, 76.97, 0.19; GCA_003218615.1, s__Udaeobacter sp003218615, 95.0, 76.94, 0.15; GCA_003218475.1, s__Udaeobacter sp003218475, 95.0, 76.92, 0.19; GCA_003219695.1, s__Udaeobacter sp003219695, 95.0, 76.83, 0.21; GCA_003220005.1, s__Udaeobacter sp003220005, 95.0, 76.81, 0.18; GCA_003218885.1, s__Udaeobacter sp003218885, 95.0, 76.79, 0.18; GCA_003219335.1, s__Udaeobacter sp003219335, 95.0, 76.78, 0.17; GCA_003218945.1, s__Udaeobacter sp003218945, 95.0, 76.78, 0.15; GCA_003218395.1, s__Udaeobacter sp003218395, 95.0, 76.77, 0.18; GCA_003218345.1, s__Udaeobacter sp003218345, 95.0, 76.77, 0.18; GCA_003218785.1, s__Udaeobacter sp003218785, 95.0, 76.7, 0.13; GCA_003217895.1, s__Udaeobacter sp003217895, 95.0, 76.67, 0.19; GCA_003219945.1, s__Udaeobacter sp003219945, 95.0, 76.66, 0.13; GCA_003218135.1, s__Udaeobacter sp003218135, 95.0, 76.65, 0.17; GCA_005887825.1, s__Udaeobacter sp005887825, 95.0, 76.56, 0.16; GCA_003219435.1, s__Udaeobacter sp003219435, 95.0, 76.54, 0.14; GCA_003218755.1, s__Udaeobacter sp003218755, 95.0, 76.53, 0.2; GCA_003218975.1, s__Udaeobacter sp003218975, 95.0, 76.43, 0.15; GCA_005887855.1, s__Udaeobacter sp005887855, 95.0, 76.41, 0.12; GCA_003218535.1, s__Udaeobacter sp003218535, 95.0, 76.41, 0.13; GCA_003219465.1, s__Udaeobacter sp003219465, 95.0, 76.39, 0.18; GCA_003217835.1, s__Udaeobacter sp003217835, 95.0, 76.37, 0.12; GCA_003218815.1, s__Udaeobacter sp003218815, 95.0, 76.33, 0.1; GCA_003218735.1, s__Udaeobacter sp003218735, 95.0, 76.29, 0.15; GCA_003219355.1, s__Udaeobacter sp003219355, 95.0, 75.91, 0.1	66.14	11	0.9662584485766124	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
LB081.bin.16.fa	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Gaiella;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Gaiella;s__	ANI	classification based on placement in class-level tree	GCF_003351045.1, s__Gaiella occulta, 95.0, 78.52, 0.36; GCA_016870235.1, s__Gaiella sp016870235, 95.0, 77.81, 0.25; GCA_009694305.1, s__Gaiella sp009694305, 95.0, 77.56, 0.14; GCA_013694685.1, s__Gaiella sp013694685, 95.0, 77.48, 0.26	13.2	11	0.889253000929512	Genome domain questionable ( 13.3% Bacterial, 5.7% Archaeal)
LB081.bin.17.fa	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	58.28	11	0.8336928549095591	N/A
LB081.bin.18.fa	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__JACDDX01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__JACDDX01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_013813675.1, s__JACDDX01 sp013813675, 95.0, 80.11, 0.45; GCA_013820855.1, s__JACDDX01 sp013820855, 95.0, 80.07, 0.5; GCA_013813145.1, s__JACDDX01 sp013813145, 95.0, 78.54, 0.39; GCA_013813875.1, s__JACDDX01 sp013813875, 95.0, 78.3, 0.32; GCA_013812695.1, s__JACDDX01 sp013812695, 95.0, 77.94, 0.31; GCA_013816685.1, s__JACDDX01 sp013816685, 95.0, 77.68, 0.28; GCA_013813435.1, s__JACDDX01 sp013813435, 95.0, 76.89, 0.19	60.6	11	0.9541888861647039	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
LB081.bin.19.fa	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	27.14	11	0.8329751555483347	N/A
LB081.bin.2.fa	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
