user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
D023.bin.1.fa	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__AR12;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__AR12;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	74.15	11	0.9278850479259448	N/A
D023.bin.10.fa	d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__Chersky-267;s__	N/A	N/A	N/A	N/A	N/A	GCA_017881905.1	95.0	d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__Chersky-267;s__Chersky-267 sp017881905	81.47	0.72	d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__Chersky-267;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	30.02	11	0.9057237053872204	Genome not assigned to closest species as it falls outside its pre-defined ANI radius;Genome has more than 60.0% of markers with multiple hits
D023.bin.11.fa	d__Bacteria;p__Actinobacteriota;c__UBA4738;o__UBA4738;f__HRBIN12;g__JACQDK01;s__	N/A	N/A	N/A	N/A	N/A	GCA_016201135.1	95.0	d__Bacteria;p__Actinobacteriota;c__UBA4738;o__UBA4738;f__HRBIN12;g__JACQDK01;s__JACQDK01 sp016201135	79.73	0.37	d__Bacteria;p__Actinobacteriota;c__UBA4738;o__UBA4738;f__HRBIN12;g__JACQDK01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	42.14	11	0.895205460324552	N/A
D023.bin.12.fa	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (3.0%)
D023.bin.13.fa	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (3.9%)
D023.bin.14.fa	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (5.3%)
D023.bin.15.fa	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__JACDDX01;s__	N/A	N/A	N/A	N/A	N/A	GCA_013812695.1	95.0	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__JACDDX01;s__JACDDX01 sp013812695	78.3	0.39	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__JACDDX01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_013820855.1, s__JACDDX01 sp013820855, 95.0, 78.4, 0.39; GCA_013813675.1, s__JACDDX01 sp013813675, 95.0, 78.16, 0.4; GCA_013813875.1, s__JACDDX01 sp013813875, 95.0, 78.08, 0.38; GCA_013816685.1, s__JACDDX01 sp013816685, 95.0, 78.05, 0.36; GCA_013813145.1, s__JACDDX01 sp013813145, 95.0, 77.8, 0.35; GCA_013813435.1, s__JACDDX01 sp013813435, 95.0, 77.02, 0.22	85.11	11	0.89832174929159	N/A
D023.bin.16.fa	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Steroidobacter_A;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Steroidobacter_A;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	18.41	11	0.9323479935802469	N/A
D023.bin.17.fa	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (7.1%)
D023.bin.18.fa	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__AR31;s__	N/A	N/A	N/A	N/A	N/A	GCA_003221615.1	95.0	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__AR31;s__AR31 sp003221615	85.28	0.69	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__AR31;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_003220495.1, s__AR31 sp003220495, 95.0, 84.41, 0.76; GCA_003220685.1, s__AR31 sp003220685, 95.0, 84.39, 0.72; GCA_003221595.1, s__AR31 sp003221595, 95.0, 82.08, 0.76; GCA_003220535.1, s__AR31 sp003220535, 95.0, 81.86, 0.59; GCA_003221515.1, s__AR31 sp003221515, 95.0, 81.65, 0.68; GCA_003221635.1, s__AR31 sp003221635, 95.0, 81.62, 0.66; GCA_003220435.1, s__AR31 sp003220435, 95.0, 81.22, 0.64; GCA_003221655.1, s__AR31 sp003221655, 95.0, 81.1, 0.68	77.94	11	0.9809964429656539	Genome not assigned to closest species as it falls outside its pre-defined ANI radius;Genome has more than 15.8% of markers with multiple hits
