Genome	Completeness	Contamination	Strain heterogeneity	GUNC pass	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	# predicted genes	5S rRNA	23S rRNA	16S rRNA	# tRNA	# tRNA types
LB081.bin.1	82.33	3.58	7.69	True	3293470	0	481	481	8061	8061	6847	6847	30487	30487	60.2	1.44	91.32	3346	Yes	No	No	37	20
LB081.bin.10	72.84	6.14	0.0	True	4796560	0	197	197	38703	38703	24348	24348	161829	161829	69.3	0.99	94.66	4953	Yes	No	No	34	20
LB081.bin.12	50.24	0.97	0.0	True	675983	0	141	141	4950	4950	4794	4794	17038	17038	53.9	1.17	89.11	990	Yes	No	No	9	9
LB081.bin.17	65.95	1.87	0.0	True	5652219	0	363	363	22796	22796	15570	15570	156004	156004	71.4	1.36	93.91	5680	No	No	No	33	16
LB081.bin.18	68.97	0.0	0.0	True	3431232	0	505	505	8034	8034	6794	6794	27608	27608	69.8	1.2	93.62	3524	No	No	No	32	18
LB081.bin.27	89.82	6.57	9.09	True	6809252	0	256	256	43828	43828	26598	26598	187458	187458	68.4	1.79	92.71	6793	Yes	No	No	51	21
LB081.bin.3	82.11	3.88	13.33	True	3644055	0	477	477	9363	9363	7639	7639	51440	51440	73.0	1.62	93.47	4145	Yes	No	No	35	18
LB081.bin.34	50.3	8.31	33.33	True	4546265	0	866	866	5618	5618	5249	5249	20767	20767	67.0	1.34	90.69	5094	No	No	Yes	56	21
LB081.bin.35	98.35	1.1	0.0	True	2724233	0	74	74	60252	60252	36813	36813	175184	175184	67.1	1.37	93.58	2422	Yes	Yes	Yes	44	19
LB081.bin.37	88.51	2.43	33.33	True	2057574	0	254	254	9902	9902	8100	8100	33506	33506	42.1	1.9	78.32	2430	Yes	No	No	38	20
LB081.bin.39	88.44	8.6	0.0	True	5906128	0	295	295	27840	27840	20020	20020	132753	132753	71.6	1.24	94.32	5304	Yes	No	No	45	21
LB081.bin.40	96.49	8.19	15.38	True	6598762	0	326	326	32393	32393	20241	20241	146759	146759	67.5	1.11	93.42	5830	Yes	No	Yes	51	21
LB081.bin.45	75.86	0.0	0.0	True	3783988	0	153	153	44384	44384	24731	24731	170733	170733	70.3	0.81	92.32	3591	No	No	Yes	40	20
LB081.bin.46	98.02	1.99	0.0	True	4993593	0	34	34	213125	213125	146870	146870	424343	424343	56.3	0.56	87.66	4466	Yes	No	Yes	50	22
LB081.bin.47	89.57	1.93	28.57	True	2287764	0	139	139	29960	29960	16458	16458	144773	144773	70.4	1.73	91.99	2388	No	No	No	42	21
LB081.bin.49	55.17	8.62	60.0	True	2848131	0	661	661	4329	4329	4308	4308	16559	16559	68.9	1.54	92.44	3449	No	No	No	56	17
LB081.bin.56	91.45	4.7	28.57	True	2247441	0	232	232	13472	13472	9687	9687	42350	42350	69.7	1.22	93.8	2430	No	No	Yes	36	19
LB081.bin.57	70.45	2.76	25.0	True	1934281	0	345	345	5971	5971	5606	5606	43298	43298	69.1	1.19	94.84	2346	No	No	No	26	18
LB081.bin.60	83.09	2.23	0.0	True	2661724	0	223	223	16721	16721	11935	11935	62200	62200	69.2	1.45	94.11	2956	Yes	No	Yes	44	19
LB081.bin.8	58.0	2.78	66.67	True	2328117	0	327	327	8740	8740	7119	7119	48105	48105	71.2	1.43	92.11	2512	Yes	No	No	35	15
