Genome	Completeness	Contamination	Strain heterogeneity	GUNC pass	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	# predicted genes	5S rRNA	23S rRNA	16S rRNA	# tRNA	# tRNA types
LB081.bin.1	82.33	3.58	7.69	True	3293470	0	481	481	8061	8061	6847	6847	30487	30487	60.2	1.44	91.32	3346	Yes	No	No	37	20
LB081.bin.10	72.84	6.14	0.0	True	4796560	0	197	197	38703	38703	24348	24348	161829	161829	69.3	0.99	94.66	4953	Yes	No	No	34	20
LB081.bin.11	100.0	444.44	8.0	True	17129810	0	2808	2808	6614	6614	6100	6100	151566	151566	70.4	1.64	93.17	20051	Yes	No	Yes	247	23
LB081.bin.12	50.24	0.97	0.0	True	675983	0	141	141	4950	4950	4794	4794	17038	17038	53.9	1.17	89.11	990	Yes	No	No	9	9
LB081.bin.13	89.5	178.87	1.19	False	16863910	0	4622	4622	3524	3524	3648	3648	32631	32631	71.6	2.14	93.61	20548	No	No	No	166	24
LB081.bin.14	4.98	0.0	0.0	False	429205	0	119	119	3580	3580	3606	3606	8319	8319	57.7	1.15	89.01	504	No	No	No	1	1
LB081.bin.15	78.32	6.31	30.0	False	2486886	0	391	391	7055	7055	6360	6360	22155	22155	53.4	1.05	90.89	2612	No	No	Yes	33	20
LB081.bin.16	14.12	0.0	0.0	True	541341	0	104	104	5412	5412	5205	5205	33487	33487	68.9	1.44	92.11	635	No	No	No	6	5
LB081.bin.17	65.95	1.87	0.0	True	5652219	0	363	363	22796	22796	15570	15570	156004	156004	71.4	1.36	93.91	5680	No	No	No	33	16
LB081.bin.18	68.97	0.0	0.0	True	3431232	0	505	505	8034	8034	6794	6794	27608	27608	69.8	1.2	93.62	3524	No	No	No	32	18
LB081.bin.19	35.69	2.59	0.0	False	3148476	0	881	881	3445	3445	3573	3573	13186	13186	71.9	2.3	88.27	3635	Yes	No	No	30	14
LB081.bin.2	0.0	0.0	0.0	True	225346	0	50	50	4363	4363	4506	4506	14588	14588	61.7	1.0	78.66	313	No	No	No	5	5
LB081.bin.20	39.14	0.0	0.0	False	1818497	0	442	442	4055	4055	4114	4114	14398	14398	66.9	1.5	95.32	2012	Yes	No	No	13	9
LB081.bin.21	0.0	0.0	0.0	False	226874	0	57	57	4127	4127	3980	3980	7060	7060	55.8	0.86	86.15	255	Yes	No	No	0	0
LB081.bin.22	37.39	0.43	100.0	True	2143429	0	490	490	4319	4319	4374	4374	32185	32185	73.4	2.25	92.6	2446	No	No	No	13	11
LB081.bin.23	15.52	0.0	0.0	True	1650023	0	349	349	4789	4789	4727	4727	17933	17933	54.1	1.31	93.09	1610	No	No	No	6	5
LB081.bin.24	0.0	0.0	0.0	True	224764	0	29	29	10111	10111	7750	7750	22245	22245	64.4	0.8	77.69	300	Yes	No	No	4	3
LB081.bin.25	3.45	0.0	0.0	True	233544	0	59	59	3897	3897	3958	3958	10281	10281	56.9	0.89	88.41	267	No	No	No	2	2
LB081.bin.26	49.63	5.26	100.0	True	3769514	0	856	856	4547	4547	4403	4403	18640	18640	69.9	1.94	90.41	4236	Yes	No	No	23	15
LB081.bin.27	89.82	6.57	9.09	True	6809252	0	256	256	43828	43828	26598	26598	187458	187458	68.4	1.79	92.71	6793	Yes	No	No	51	21
LB081.bin.28	0.0	0.0	0.0	False	305293	0	18	18	80046	80046	16960	16960	85960	85960	63.1	0.93	90.42	300	No	No	No	1	1
LB081.bin.29	84.23	28.06	5.93	True	4925686	0	1018	1018	5055	5055	4838	4838	25729	25729	67.1	1.59	88.21	5453	No	No	No	50	19
LB081.bin.3	82.11	3.88	13.33	True	3644055	0	477	477	9363	9363	7639	7639	51440	51440	73.0	1.62	93.47	4145	Yes	No	No	35	18
LB081.bin.30	2.08	0.0	0.0	True	213890	0	40	40	5884	5884	5347	5347	13504	13504	50.7	1.11	83.93	247	No	No	No	3	3
LB081.bin.31	64.28	17.07	4.55	False	3731914	0	874	874	4253	4253	4269	4269	22342	22342	67.4	1.66	94.86	4659	Yes	No	No	32	12
LB081.bin.32	0.0	0.0	0.0	True	243632	0	50	50	5382	5382	4872	4872	10718	10718	65.3	1.3	79.06	297	No	No	No	0	0
LB081.bin.33	18.97	0.0	0.0	False	1313670	0	399	399	3193	3193	3292	3292	8740	8740	68.7	1.45	94.44	1456	No	No	No	6	5
LB081.bin.34	50.3	8.31	33.33	True	4546265	0	866	866	5618	5618	5249	5249	20767	20767	67.0	1.34	90.69	5094	No	No	Yes	56	21
LB081.bin.35	98.35	1.1	0.0	True	2724233	0	74	74	60252	60252	36813	36813	175184	175184	67.1	1.37	93.58	2422	Yes	Yes	Yes	44	19
LB081.bin.36	77.51	58.45	87.8	True	2986558	0	474	474	7013	7013	6300	6300	43993	43993	35.8	1.28	83.26	3765	No	No	No	59	19
LB081.bin.37	88.51	2.43	33.33	True	2057574	0	254	254	9902	9902	8100	8100	33506	33506	42.1	1.9	78.32	2430	Yes	No	No	38	20
LB081.bin.38	0.0	0.0	0.0	True	280385	0	50	50	5820	5820	5607	5607	26184	26184	66.9	1.24	81.72	323	No	No	No	14	7
LB081.bin.39	88.44	8.6	0.0	True	5906128	0	295	295	27840	27840	20020	20020	132753	132753	71.6	1.24	94.32	5304	Yes	No	No	45	21
LB081.bin.4	45.94	4.4	42.11	True	1649646	0	417	417	3914	3914	3955	3955	13583	13583	64.4	1.62	89.68	1983	No	No	No	21	12
LB081.bin.40	96.49	8.19	15.38	True	6598762	0	326	326	32393	32393	20241	20241	146759	146759	67.5	1.11	93.42	5830	Yes	No	Yes	51	21
LB081.bin.41	6.9	1.72	100.0	True	938857	0	262	262	3459	3459	3583	3583	8272	8272	60.5	0.94	94.41	1094	No	No	No	9	6
LB081.bin.42	0.0	0.0	0.0	True	250138	0	49	49	6141	6141	5104	5104	19606	19606	60.9	1.35	78.97	312	No	No	No	0	0
LB081.bin.43	4.08	0.0	0.0	False	301056	0	72	72	4231	4231	4181	4181	12708	12708	57.3	1.24	88.8	316	No	No	No	3	3
LB081.bin.44	15.52	0.0	0.0	False	266735	0	83	83	3255	3255	3213	3213	5765	5765	65.7	1.2	89.34	330	No	No	No	3	3
LB081.bin.45	75.86	0.0	0.0	True	3783988	0	153	153	44384	44384	24731	24731	170733	170733	70.3	0.81	92.32	3591	No	No	Yes	40	20
LB081.bin.46	98.02	1.99	0.0	True	4993593	0	34	34	213125	213125	146870	146870	424343	424343	56.3	0.56	87.66	4466	Yes	No	Yes	50	22
LB081.bin.47	89.57	1.93	28.57	True	2287764	0	139	139	29960	29960	16458	16458	144773	144773	70.4	1.73	91.99	2388	No	No	No	42	21
LB081.bin.48	0.0	0.0	0.0	True	1953805	0	409	409	5011	5011	4777	4777	20341	20341	72.6	2.69	87.48	2230	No	No	No	46	15
LB081.bin.49	55.17	8.62	60.0	True	2848131	0	661	661	4329	4329	4308	4308	16559	16559	68.9	1.54	92.44	3449	No	No	No	56	17
LB081.bin.5	92.71	121.71	14.18	True	9030996	0	1902	1902	4995	4995	4748	4748	33649	33649	70.6	1.74	91.95	10178	No	No	No	108	21
LB081.bin.50	92.31	36.66	65.71	False	3820404	0	647	647	6679	6679	5904	5904	30740	30740	58.3	1.68	90.97	4328	No	No	No	42	19
LB081.bin.51	56.49	20.33	8.0	False	3691107	0	1066	1066	3327	3327	3462	3462	10156	10156	65.5	1.49	94.37	4191	No	No	No	18	10
LB081.bin.52	70.2	32.94	21.82	False	4039671	0	1036	1036	3866	3866	3899	3899	16536	16536	70.7	1.51	93.68	4912	No	No	No	46	19
LB081.bin.53	80.8	58.62	22.22	True	4555208	0	997	997	4641	4641	4568	4568	18787	18787	65.8	1.36	93.46	5155	No	No	No	42	18
LB081.bin.54	92.79	157.57	81.92	True	11924340	0	811	811	23681	23681	14703	14703	189869	189869	68.1	1.09	92.61	11642	Yes	No	No	142	23
LB081.bin.55	43.59	0.85	0.0	True	1935727	0	455	455	4285	4285	4254	4254	16093	16093	70.5	1.92	93.43	2086	No	No	No	12	7
