Genome	Completeness	Contamination	Strain heterogeneity	GUNC pass	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	# predicted genes	5S rRNA	23S rRNA	16S rRNA	# tRNA	# tRNA types
D023.bin.1	83.33	3.39	0.0	True	4664448	0	547	547	10980	10980	8527	8527	39279	39279	69.3	1.45	94.87	5096	Yes	No	No	36	18
D023.bin.15	92.11	1.1	0.0	True	4680515	0	157	157	59101	59101	29812	29812	187795	187795	67.4	1.11	93.11	4408	Yes	No	Yes	48	23
D023.bin.21	95.31	2.58	0.0	True	5031586	0	153	153	49833	49833	32886	32886	178986	178986	66.0	1.52	89.29	4800	Yes	No	No	47	22
D023.bin.24	64.73	3.1	16.67	True	4887535	0	656	656	9042	9042	7450	7450	43747	43747	69.3	1.26	94.11	5295	No	No	No	18	10
D023.bin.3	79.15	0.0	0.0	True	2654615	0	229	229	15735	15735	11592	11592	53408	53408	69.2	1.48	94.15	2906	Yes	Yes	Yes	43	20
D023.bin.31	87.18	2.74	25.0	True	4952219	0	594	594	10288	10288	8337	8337	62803	62803	54.2	1.21	92.25	4596	Yes	No	Yes	42	16
D023.bin.36	72.04	2.26	0.0	True	3552464	0	618	618	6325	6325	5748	5748	46832	46832	69.0	1.54	93.25	3697	No	No	No	25	18
D023.bin.38	64.31	5.17	0.0	True	3841909	0	760	760	5337	5337	5055	5055	17439	17439	58.7	1.14	88.73	4010	No	No	No	19	11
D023.bin.4	85.99	5.6	66.67	True	3406825	0	232	232	23119	23119	14684	14684	81428	81428	71.7	1.21	94.32	3724	Yes	No	No	48	22
D023.bin.42	53.21	8.62	33.33	True	1549113	0	381	381	4003	4003	4065	4065	13009	13009	68.0	1.66	94.39	1723	No	No	No	11	10
D023.bin.43	94.44	5.09	71.43	True	4258059	0	133	133	67007	67007	32015	32015	185131	185131	68.3	1.17	93.11	3993	No	No	Yes	41	21
D023.bin.46	95.78	5.98	25.0	True	8089158	0	297	297	43639	43639	27236	27236	151719	151719	68.3	2.4	89.83	6687	Yes	No	No	54	22
D023.bin.47	91.72	1.87	33.33	True	2376707	0	176	176	17695	17695	13504	13504	101834	101834	69.3	1.61	91.79	2504	Yes	Yes	No	54	21
D023.bin.48	86.27	2.98	40.0	True	6126539	0	842	842	8478	8478	7276	7276	39095	39095	64.0	2.46	82.91	7102	Yes	No	No	78	20
D023.bin.50	78.35	4.27	14.29	True	5397161	0	416	416	18427	18427	12973	12973	67714	67714	66.8	0.99	93.6	4912	No	No	No	38	20
D023.bin.55	96.68	9.4	16.67	True	6908497	0	142	142	85692	85692	48651	48651	231838	231838	64.3	0.81	94.31	5836	Yes	No	Yes	42	21
D023.bin.9	98.24	1.71	50.0	True	6125184	0	201	201	52227	52227	30473	30473	170192	170192	57.0	0.83	88.21	5404	Yes	Yes	Yes	60	22
